gene	spt7.del	wt
BST1	8.67382139311247	8.80059580210205
STE2	8.56863259586781	8.56343272895851
GYP8	9.23864118817466	9.29476776764656
CAF16	10.1022250689162	10.152969262819
CAK1	9.81865566837964	9.73270504955506
AGX1	8.76284708132292	8.54503395858578
HAC1	14.323934355926	13.3703468513585
YFL032W	6.98457795822145	6.75983493397927
RIM15	9.08794012462208	9.2724758270889
RPL22B	11.6796692209101	12.7072189111854
MOB2	9.60914918198692	9.21589211209694
YFL034W	9.76479862500384	9.76612801226063
RPO41	10.633721812641	10.7288303584231
TUB2	13.6865771245527	13.4581246090339
YPT1	12.938805872391	12.7704615545813
ACT1	15.7838448887351	14.8509974420029
YFL040W	6.67492667254453	6.43284084760385
FET5	11.4127762337537	11.2009415052727
YFL042C	11.1277364435888	10.6442078038397
OTU1	9.83752386616927	9.59073112510485
SEC53	13.4628856452132	13.5857723804378
FMP32	10.2608960176597	10.1063928167137
RGD2	10.6291106851912	11.0177479614772
EMP47	11.5746313680227	11.4032890285241
SWP82	10.509458328687	10.3237528513132
ALR2	9.97241982560331	10.1239791036965
YFL051C	7.37131490804309	7.53741255908016
YFL052W	6.06619900336358	6.06251031663497
DAK2	7.32986807884769	7.36644461954126
YFL054C	9.65631044426406	9.66261497434265
AGP3	7.50941873934405	7.29721893464728
AAD6	9.17140700988817	9.52098397300943
SNZ3	9.93087627896012	9.81523117233421
SNO2	9.38541377997259	9.34625442365743
DDI3	6.71594826657474	6.85355908107401
COS4	13.3685473845763	12.620842964501
YFL063W	7.4899603217414	7.20015316305141
YFL064C	9.04227770796999	8.71150523124368
YFL066C	11.556151564135	11.4560309276428
YFL067W	7.85644420416861	7.65795434587024
YOR396C-A	7.90834458018066	8.16577127935905
LOC1	11.556989745821	11.9799895866946
NIC96	11.5339574892994	11.4257771336467
YPI1	9.5617633546684	9.51855087509881
RPN11	11.8351187741827	11.7207615517243
SAD1	9.96780264519639	9.92908823457041
YFR006W	10.4331263762064	9.97604852735822
YFH7	8.84217117408099	8.96826934940175
FAR7	7.96890290360058	7.87509196539686
GCN20	11.9159988517389	11.7855750715925
UBP6	11.9607259948391	11.6932604296249
AIM13	11.4710756601985	11.3575135175754
YFR012W	7.50736652430909	6.84561549723295
YFR012W-A	7.9093530968486	7.79374635251298
IOC3	10.3789342259148	10.0646349963898
CMK1	9.80679770231501	9.63018520310866
GSY1	8.57437024709014	8.82951344985688
YFR016C	10.9976240787041	10.5588415973721
YFR017C	7.08334103472762	7.19534759832222
YFR018C	10.7726032490205	10.2541074066242
